"inventory_id","citation_key","year","title","release_note"
"DI001","Zhang2022","2022","Online reinforcement learning with passivity-based stabilizing term for real time overhead crane control without knowledge of the system model","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI002","eaglin2023controlling","2023","Controlling a double-pendulum crane by combining reinforcement learning and conventional control","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI003","balazy2024robust","2024","Robust reinforcement learning for overhead crane control with variable load conditions","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI004","muafi2025vision","2025","Vision-based Control for Excavator Navigation Using Deep Reinforcement Learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI005","an2025path","2025","Path-Planning Method Based on Reinforcement Learning for Cooperative Two-Crane Lift Considering Load Constraint","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI006","apolinarska2021robotic","2021","Robotic assembly of timber joints using reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI007","babu2021terrain","2021","Terrain adaption controller for a walking excavator robot using deep reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI008","babu2025stepping","2025","Stepping Locomotion for a Walking Excavator Robot using Hierarchical Reinforcement Learning and Action Masking","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI009","belousov2022robotic","2022","Robotic architectural assembly with tactile skills: Simulation and optimization","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI010","cai2023prediction","2023","Prediction-based path planning for safe and efficient human--robot collaboration in construction via deep reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI011","chen2025safe","2025","Safe reinforcement learning for tracking control of uncertain hydraulic excavators","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI012","cho2022reinforcement","2022","Reinforcement learning-based simulation and automation for tower crane {3D} lift planning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI013","duan2025safety","2025","Safety-constrained Deep Reinforcement Learning control for human--robot collaboration in construction","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI014","duan2025training","2025","Training of construction robots using imitation learning and environmental rewards","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI015","duan2025visual","2025","Visual--tactile learning of robotic cable-in-duct installation skills","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI016","egli2022_soil","2022","Soil-Adaptive Excavation Using Reinforcement Learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI017","egli2022general","2022","A general approach for the automation of hydraulic excavator arms using reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI018","egli2024reinforcement","2024","Reinforcement learning-based bucket filling for autonomous excavation","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI019","eriksson2024automatic","2024","Automatic loading of unknown material with a wheel loader using reinforcement learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI020","eriksson2024optimizing","2024","Optimizing bucket-filling strategies for wheel loaders inside a dream environment","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI021","felbrich2022autonomous","2022","Autonomous robotic additive manufacturing through distributed model-free deep reinforcement learning in computational design environments","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI022","gao2026deep","2026","Deep reinforcement learning coupled with topological scene graph for dynamic path planning of autonomous bulldozer in complex earthwork construction","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI023","gruetter2025towards","2025","Towards Learning Boulder Excavation with Hydraulic Excavators","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI024","hanqing2024novel","2024","A Novel 3-Dimensional Crane Lifting Path Planning Method Based on Reinforcement Learning","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI025","helian2025reinforcement","2025","Reinforcement Learning-Based Autonomous Control Methodology of Hydraulic Excavators","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
"DI026","hu2026bayesian","2026","Bayesian reinforcement learning for adaptive control of energy recuperation in hydraulic excavator arms","Bibliographic reference index for the 166-source synthesis; formal/contextual aggregate counts are defined in CURRENT_RELEASE_2026-08-10.md"
