row_id,tsv_seq,citation_key,year,title,full_name,final_tier,A1_competency_regime,A2_action_abstraction,A2_observation_type,A2_decision_formalism,A3_SPAE_pattern,A3_authority_pattern,A4_assurance_mode,A5_EVL,synthesis_set,_alias_note
1,1,Zhang2022,2022,Online RL passivity-based stabilizing crane,Online reinforcement learning with passivity-based stabilizing term for real time overhead crane control without knowledge of the system model,Tier A,Material Placement and Lifting,Mid-level,Low-dim structured crane kinematics (trolley position velocity sway angle angular velocity),MDP,MB/D/MB/MB,Bounded skill or supervisory,AM2,L0,Primary,PB-ODPG online actor-critic with TD critic target network and deterministic actor update; passivity-based stability indicator activates extra stabilizing gradient on actor weights when generalized energy derivative suggests instability; probing noise on control for exploration; MATLAB simulation versus LQR and passivity baseline; no physical deployment or separate runtime veto
2,2,eaglin2023controlling,2023,Controlling Double-Pendulum Crane,Controlling a double-pendulum crane by combining reinforcement learning and conventional control,Tier A,Material Placement and Lifting,Mid-level,Low-dim structured double-pendulum kinematics (trolley position and velocity hook and payload swing angles),MDP,MB/D/MB/MB,Residual learning within classical control,AM1,L1,Primary,TD3 trained in simulation for trolley rest-to-rest with swing-penalized reward; RL-only versus fixed PD on trolley states plus RL residual acceleration (RL-PD) and PD plus agent-assigned swing coupling gains plus extra scalar RL action (RL-PD-A); sensitivity sweeps domain randomization and actuator saturations; physical small-scale crane with encoders and vision for hook and payload angles; hardware trials show RL-only sim-to-real failure while PD-plus-RL structures retain performance
3,3,balazy2024robust,2024,Robust RL Overhead Crane Variable Load,Robust reinforcement learning for overhead crane control with variable load conditions,Tier B,Material Placement and Lifting,Mid-level,Low-dim structured bridge crane kinematics (cart position velocity hoist length and lowering speed swing angle and angular velocity),MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Contextual,Simulink overhead crane with simplified nonlinear discrete dynamics; penalty reward on positioning error sway angle and acceleration limits; robustness via varying load mass and sling length with per-episode randomization of object features; abstract and methodology stress TD3 while training section uses MATLAB Reinforcement Learning Toolbox rlDDPG DDPG-class MLP actor-critic (8-dim state observation 4-dim continuous action); long GPU-backed training compares 1 kg and 5 kg cases to time-varying LQR gains; validation is simulation-only with physical crane left to future work
4,4,muafi2025vision,2025,Vision-based Control Excavator Navigation,Vision-based Control for Excavator Navigation Using Deep Reinforcement Learning,Tier A,"Navigation, Layout, and Logistics Support",Mid-level,Low-dim vision-derived target encoding (YOLOv8 bbox xmin ymin xmax ymax as four-dimensional PPO observation MlpPolicy),MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,Wheeled excavator in Webots with onboard camera and YOLOv8 detector front-end; PPO Stable-Baselines3 MlpPolicy maps four bbox scalars to two continuous normalized wheel angular velocities for differential-drive undercarriage; inverse-sigmoid image-plane centroid-to-goal reward plus goal proximity distance and arena boundary terms are reward shaping without disclosed command-level shields; compares v8n v8s v8m selects v8m; fixed and randomized in-sim target placement tests; physical excavator deployment not reported
5,5,an2025path,2025,Path-Planning Cooperative Two-Crane Lift,Path-Planning Method Based on Reinforcement Learning for Cooperative Two-Crane Lift Considering Load Constraint,Tier B,Material Placement and Lifting,Mid-level,Low-dim structured cooperative crane postures (luff slew hoist rope length for cranes A and B as six-variable tabular Q state),MDP,MB/D/MB/MB,Bounded skill or supervisory,AM2,L0,Contextual,Cooperative dual truck-crane lift path planning via offline tabular Q-learning QLCLD; static equilibrium model gives load distribution MA MB versus crane postures for reward on balanced load ratios; feasible action set masks successors violating rope skew limits and ISO 9928-2 eighty percent per-crane load ratio before epsilon-greedy selection; discrete cooperative moves change at most one DOF per crane per step; MATLAB R2020a simulations with geometric collision checks compare QLCLD to load-agnostic QL and greedy GCLD; stated offline planner before real lift no hardware validation
6,6,apolinarska2021robotic,2021,Robotic assembly of timber joints,Robotic assembly of timber joints using reinforcement learning,Tier A,Structural Assembly and Installation,Mid-level,Low-dim structured pose and wrench observation (member position and orientation quaternion plus six-axis force torque at sensor thirteen-dimensional continuous state),MDP,MB/D/MB/MB,Bounded skill or supervisory,AM2,L3,Primary,Timber lap-joint insertion with industrial ABB IRB4600 and BOTA F/T sensor; Ape-X DDPG in RLlib trained entirely in PyBullet with human demonstration rollouts in shared replay and Gaussian domain randomization on F/T; policy outputs Cartesian linear and angular velocities at capped rates via ROS and EGM at fifty hertz; real episodes abort when sensor or wrist torque limits exceeded; distance-to-goal reward with success threshold; single-lap and double-lap physical tests and geometry tolerance sweeps sim versus real
7,7,babu2021terrain,2021,Terrain adaption walking excavator,Terrain adaption controller for a walking excavator robot using deep reinforcement learning,Tier A,"Navigation, Layout, and Logistics Support",Mid-level,Low-dim proprio and terrain-contact features (stabilizer positions velocities chassis roll pitch chassis-to-ground and per-wheel ground distances) with optional two-to-sixteen-dim autoencoded height-map latent (sixty-four by thirty-two grid compressed not fed raw),MDP,MB/D/MB/MB,Bounded skill or supervisory,AM2,L0,Primary,ARTER walking excavator active suspension in PyBullet with ROS motion-control stack trajectory follower and pure pursuit at fixed speed; terrain from OpenSimplex height fields; SAC Stable-Baselines3 MLP with gSDE outputs normalized stabilizer rates filtered by active suspension first-order command shaping before joints at ten hertz control versus two hundred forty hertz sim; dense reward on NESM clearance wheel contact command magnitude roll pitch groups TC BC BTC compare latent terrain coding; training and evaluation simulation-only with real transfer stated as future work tip-over triggers negative terminal reward and env reset
8,8,babu2025stepping,2025,Stepping Locomotion Walking Excavator,Stepping Locomotion for a Walking Excavator Robot using Hierarchical Reinforcement Learning and Action Masking,Tier A,"Navigation, Layout, and Logistics Support",Mid-level,Low-dim structured locomotion and terrain context (joint states TCP cylindrical coordinates link ground distances NESM body pitch plus normalized progress obstacle geometry and subtask sequence index as disclosed per hierarchy level),MDP,MB/D/MB/MB,Bounded skill or supervisory,AM2,L0,Primary,ARTER walking-excavator stepping in PyBullet Stable-Baselines3; three-level manually designed HRL with programmatic Stepper Controller gating Step-In versus Step-Out; lowest layer outputs primitive commands to auxiliary manipulator Cartesian drive trajectory follower and joint velocity loops; Contact Switch and Step-In and Step-Out trained with Masked-PPO on discretized actions or goals using invalid action masking for joint limit saturation predefined subtask order and valid Contact-Switch goal sets; Move Base Manipulator uses continuous SAC; separate policies for obstacle step and gap templates; training and evaluation simulation-only with sim-to-real contact and dynamics gap acknowledged as future work
9,9,belousov2022robotic,2022,Robotic architectural assembly tactile skills,Robotic architectural assembly with tactile skills: Simulation and optimization,Tier A,Structural Assembly and Installation,Mid-level,Hybrid observation: PyBullet TD3 placement policy uses low-dim block poses robot state and costs on vertex pose errors; real DIGIT tactile experiments use paired vision-based tactile RGB maps encoded to sixteen-dim latent with gripper and block poses inside a learned transition model for MPC,MDP,MB/D/MB/MB,Bounded skill or supervisory,AM1,L3,Primary,Discrete SL modular blocks single placement focus; Rhino Grasshopper TCP bridge exports geometry to PyBullet; TD3 Stable-Baselines3 trains contact-rich stacking in sim nominal eight millimeter class accuracy random goals and grasps; simulated DIGIT gel deformation deemed inadequate so tactile skill shifted to real data model-based learning from handful of guided demos augmented to thirty thousand steps at fifteen hertz autoencoder plus latent dynamics with cross-entropy MPC; thirty physical join trials nineteen successes near one millimeter failures from jamming and multi-contact without penalty; concludes tactile sim limitations and points to graph or camera policies for multi-block scenes
10,10,cai2023prediction,2023,Prediction-based path planning HRC construction,Prediction-based path planning for safe and efficient human--robot collaboration in construction via deep reinforcement learning,Tier A,"Navigation, Layout, and Logistics Support",Mid-level,Low-dim structured grid map state (sixteen-dimensional vector of robot cell destination cell nearest worker current cell and five lookahead cells sampled from uncertainty-aware LSTM Gaussian trajectory model trained on video tracks not raw pixels to DQN),MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L0,Primary,Construction site discretized to half-meter grid mobile robot path planning as MDP; encoder-decoder LSTM predicts worker location distributions from labeled video trajectories then samples future grids into state; DQN with two twenty-four-node FC layers and target network epsilon-greedy over five actions including stay; reward mixes progress aimless penalty destination bonus discounted multi-step collision penalties with missing-worker-destination overlap cases excluded from collision stats and large boundary penalty; fifty thousand training episodes on homography-based sim from real footage one to five workers randomized starts compared to DQN without predicted cells; ten thousand test episodes report full success and near-shortest paths and lower collision rates versus baseline; onsite robot execution noted as future work
11,11,chen2025safe,2025,Safe RL tracking control hydraulic excavators,Safe reinforcement learning for tracking control of uncertain hydraulic excavators,Tier A,Earthwork and Material Processing,Low-level,Low-dim structured electro-hydraulic servo state (fourth-order valve-driven cylinder model with rod position velocity acceleration and equivalent jerk states x1 through x4 plus backstepping errors zi and adaptive gain estimates; observations from onboard rod displacement joint-angle IMU and encoder fusion in experiments not vision-based policy input),MDP,MB/D/MB/MB,Residual learning within classical control,AM3,L3,Primary,Optimized backstepping with per-step HJB-style costs; Gaussian RBF actor-critic stacks (forty neurons each stage) learn unknown terms in optimal virtual controls and final valve command; log-type barrier Lyapunov functions enforce |zi| below prescribed kzi during online weight updates yielding SGUUB with states in safety tubes; unknown aggregate gain a4 handled via scaled stage-four cost and Lyapunov redesign; continuous proportional-valve input u; MATLAB single-cylinder tracking sim versus OB without BLF plus Ka perturbation robustness; Simscape Multibody SolidWorks task-space leveling demo; hydraulic testbed ROS C++ USB-CAN boom-and-arm leveling with disclosed tip reference; open repository RL-based-OBC-of-UHE
12,12,cho2022reinforcement,2022,RL tower crane 3D lift planning,Reinforcement learning-based simulation and automation for tower crane {3D} lift planning,Tier A,Material Placement and Lifting,Mid-level,Low-dim structured operator-view tower-crane state with sparse short-range exteroception (normalized jib slew hook-to-target direction unit vector ground-normal alignment dot normalized hook-target distance rigging-linked binary and five fixed proximity hits with binary contact flags and range ratios inside five-meter hook-centered sensing as Table 2),MDP,MB/D/MB/MB,Task/planner-level,AM0,L2,Primary,Real-scale virtual site with HK290H-12 kinematic actuator parameters and simultaneous three-DOF motion; continuous policy outputs normalized trolley slew and hoist drive parameters feeding declared actuator dynamics; six training strategies pairing PPO on-policy and SAC off-policy with stacked continuous and discrete reward terms CR1 through CR5 and DR1 DR2 for proximity jib alignment post-load clearance and rotation penalties plus goal and collision events; strategy-number-three PPO preferred on multi-metric z-scores coordination ratio and failure rates with expert panel consensus; transferable tests on random versus unfamiliar layouts; case study replays sixty-two lifts in as-built BIM against field video timings reporting Pearson correlation about 0.6857; manual rigging omitted fixed mast position no onboard policy execution on physical crane
13,13,duan2025safety,2025,Safety-constrained DRL HRC construction,Safety-constrained Deep Reinforcement Learning control for human--robot collaboration in construction,Tier A,"Navigation, Layout, and Logistics Support",Mid-level,Low-dim/perception-derived compact state,POMDP,MB/D/MB/MB,Bounded skill or supervisory,AM3,L2,Primary,paper-level check: reviewed in prior evidence pass; classification retained after consistency audit.
14,14,duan2025training,2025,Training of construction robots imitation,Training of construction robots using imitation learning and environmental rewards,Tier A,Structural Assembly and Installation,Mid-level,Low-dim structured manipulator-task state (joint positions and velocities plus target object size position and orientation for planning as Section 3.3.2; VR teleop uses hand skeleton and SVM gesture classes mapped through IK to xArm joint commands; physical deployment uses AprilTag and Intel RealSense D435i for object and frame poses in robot frame not end-to-end vision policy),MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L3,Primary,Unity VR with Oculus Quest two and vision-based hand pose plus three-class SVM grip gestures driving a six-DOF xArm via IK to collect successful demos; BC warmup then PPO-style clipped policy gradient with value and entropy losses combining sparse piecewise environmental rewards for suction pickup window place and glass-drop termination plus GAIL-style discriminator intrinsic log-signal as weak occupancy supervisor; hyperparameter sweep favors strong extrinsic and small intrinsic weight with sixty demonstrations; simulation reports ninety-seven percent pick and install over hundred rollouts for best group; physical window panel suction task with low-level joint tracking and IK refinement inside distance thresholds; limitations fixed gesture vocabulary assumes accurate arm and camera stack
15,15,duan2025visual,2025,Visual tactile learning cable-in-duct,Visual--tactile learning of robotic cable-in-duct installation skills,Tier A,Structural Assembly and Installation,Mid-level,Multimodal compact continuous state (fifteen-dimensional observation coupling gripper position-orientation quaternion duct orifice pose and scalar in-hand fish-tape angle from FSTR-Net on GelSight tactile images with wrist-mounted RealSense nozzle localization feeding the same SAC policy trained in MuJoCo),MDP,MB/D/MB/MB,Bounded skill or supervisory,AM0,L3,Primary,MuJoCo UR5 with mocap welded end-effector GelSight fingers and Taxim-style simulated tactile images; multi-stage reward shaping via assist point above conduit mouth then insertion alignment; seven-dimensional bounded delta EE pose actions; SAC Stable-Baselines3; parallel FSTR-Net trains feature-level UDA Siamese ResNet-50 with stylization uncertainty DINO spectral foreground fusion for sim-to-real scalar angle regression; reports about ninety-nine percent tactile-test accuracy and about ninety-eight percent sim success with in-hand ablation; physical Robotiq 2F-85 GelSight RealSense cable-in-duct trials across pipe sizes and precise versus rough grasp commands with about ninety-five point eight percent average success in abstract and Table three style breakdowns; repeated push phases at puller mouth for long feeds; gel curvature and tight switch-box clearance noted as limits
16,16,egli2022_soil,2022,Soil-adaptive excavation RL,Soil-Adaptive Excavation Using Reinforcement Learning,Tier A,Earthwork and Material Processing,Low-level,Low-dim structured proprioceptive excavator observation (arm joint positions velocities and pressure-inferred joint torques bucket pose and motion expressed in cabin frame wheel-averaged soil height and path-integrated fill estimate per Table III without vision or explicit soil-parameter inputs),MDP,MB/D/MB/MB,Residual learning within classical control,AM1,L3,Primary,RaiSim rigid-body excavator with floating base and PID inner loops mimicking velocity tracking torque clipping and hydraulic directional asymmetry; FEE-based separation plus penetration soil forces with wide randomized geotechnical ranges; custom parallel PPO-GAE MLP policy outputs normalized four-joint velocity setpoints mapped to standard proportional main-stage valves via pilot retrofit and feedforward-PID valve current loops on twelve-ton Menzi Muck; dense and terminal rewards with curriculum on terminal pose thresholds and multiple negative terminations bucket speed base slip empty-bucket air gap self-collision penetration geometry phi constraint; hardware soft soil medium granite-interrupted hard trench; sim2real without online soil ID
17,17,egli2022general,2022,General approach hydraulic excavator arms,A general approach for the automation of hydraulic excavator arms using reinforcement learning,Tier A,Earthwork and Material Processing,Low-level,Low-dim structured observation with finite histories of four-arm joint positions velocities and normalized pilot valve commands plus engine rpm hydraulic temperature shovel-joint pose and velocity and commanded planar linear and angular rates for cabin-frame task-space velocity tracking per Table II without vision or ranging,MDP,MB/D/MB/MB,Residual learning within classical control,AM1,L3,Primary,Supervised FF actuator network from about 100 min at 100 Hz ramp-chirp pilot commands predicts next-step joint velocities embedding hydraulic delays deadband cylinder-to-joint effects with only link lengths for FK; PPO2-GAE tanh MLP policy trained in learned-model sim at 6.7 Hz with observation noise and hidden ±10 percent action gain randomization outputs pilot currents deployed at 100 Hz without filtering; outer deployment uses proportional pose-error plus feedforward trajectory velocity per Eq 2 then learned valve tracking; air circular straight-line benchmarks versus Leica iCON and grading with soil contact not seen in RL training
18,18,egli2024reinforcement,2024,RL bucket filling autonomous excavation,Reinforcement learning-based bucket filling for autonomous excavation,Tier A,Earthwork and Material Processing,Low-level,Low-dim structured observation per Table 6 combining arm joint positions velocities pressure-inferred joint torques five 20 cm-spaced samples of local terrain height and matched maximum-depth constraint along the boom toward the cabin scalar pullup distance bucket fill estimate from path integration and forward-kinematics bucket state without explicit soil-parameter inputs deployment samples heights from a georeferenced 0.1 m 2.5-D elevation map,MDP,MB/D/MB/MB,Residual learning within classical control,AM1,L3,Primary,Isaac Gym floating-base excavator with parallel batched rollouts and configuration-dependent cylinder-to-joint torque limits analytic FEE-style separation-plus-penetration soil forces RBF-randomized terrain slopes and depth envelopes heavy domain randomization curriculum on terminals and terrain scale PPO-GAE separate MLP policy-value outputs normalized four-joint velocity setpoints tracked in sim by inverse-dynamics inner loop and on twelve-ton HEAP Menzi Muck by PID plus feedforward pilot valve flow at 100 Hz extensive single-scoop soils and trench mission nested in Terenzi-Hutter style global-local excavation planner with geometric PoA human benchmark and map-based fill discrepancy discussion
19,19,eriksson2024automatic,2024,Automatic loading unknown material wheel loader,Automatic loading of unknown material with a wheel loader using reinforcement learning,Tier A,Earthwork and Material Processing,Low-level,Low-dim structured proprioceptive histories with sixteen samples per signal at 15 ms of boom and bucket angles lift and tilt cylinder forces and machine speed feeding a shared three-filter 1D-CNN actor-critic front end per Fig 3 without vision,MDP,D/D/MB/MB,Bounded skill or supervisory,AM1,L3,Primary,Expert imitation pretrain on 100 bucket fills each for blasted rock or woodchips supervised CNN-MLP mapping stacked sensor histories to three Tanh-bounded hydraulic commands then on-policy PPO-GAE Stable-Baselines3 on a full-size 24-tonne Liebherr 576 updates only the final actor layer after each scoop with critic sharing the CNN trunk terminal mass reward capped at 10 000 kg dense tanh-weighted cylinder work minus time penalty learnable Gaussian action noise human safety abort phased approach-and-exit state machine ROS2 over CAN factory sensors only empirical study matching MDP step period to about 240 ms hydraulic delay for fastest gravel adaptation 20 versus 40 episodes versus human baseline
